dimension_index,dimension_name,is_motion_dimension,physical_zero_bin_index,physical_zero_normalized,true_zero_bin_rate,pred_zero_bin_rate,token_accuracy_excluding_stop,bin_accuracy_excluding_stop,pred_valid_action_token_rate,action_l1_raw,action_l1_normalized
0,x,True,115,-0.0956848275083636,0.285,0.675,0.315,0.315,1.0,0.053408833406156056,0.07481912748603259
1,y,True,121,-0.046204618460757074,0.17,0.375,0.25,0.25,1.0,0.054364283939310275,0.06698349497715633
2,z,True,114,-0.10410094721895247,0.17,0.415,0.25,0.25,1.0,0.08031040097012739,0.0945821747592851
3,roll,True,104,-0.18421056452638118,0.445,0.815,0.485,0.485,1.0,0.012088302115406659,0.098968549934088
4,pitch,True,123,-0.03448276323535371,0.33,0.78,0.365,0.365,1.0,0.013866702804706966,0.08925693362016304
5,yaw,True,117,-0.07852212698672434,0.2,0.56,0.335,0.335,1.0,0.012168984839132592,0.04042756009101869
6,gripper,False,127,0.0,0.465,0.485,0.96,0.96,0.485,0.04194117647058823,0.04194117647058823
